description_model,field_path,scene_id,status,value
gemini,overall_form,v1:building_007,unsupported_top_level_field,"""rectangular"""
gemini,footprint_hint,v1:building_007,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_007,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_007,unsupported_top_level_field,1
gemini,roof_type,v1:building_007,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_013,unsupported_top_level_field,"""rectangular"""
gemini,footprint_hint,v1:building_013,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_013,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_013,unsupported_top_level_field,1
gemini,roof_type,v1:building_013,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_020,unsupported_top_level_field,"""rectangular"""
gemini,footprint_hint,v1:building_020,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_020,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_020,unsupported_top_level_field,2
gemini,roof_type,v1:building_020,unsupported_top_level_field,"""hip"""
gemini,overall_form,v1:building_028,unsupported_top_level_field,"""Rectangular block"""
gemini,footprint_hint,v1:building_028,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_028,unsupported_top_level_field,"""Symmetrical along the longitudinal and transverse axes, except for the entrance."""
gemini,floors_estimate,v1:building_028,unsupported_top_level_field,2
gemini,roof_type,v1:building_028,unsupported_top_level_field,"""gable"""
gemini,overall_form,v1:building_031,unsupported_top_level_field,"""rectangular prism"""
gemini,footprint_hint,v1:building_031,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_031,unsupported_top_level_field,"""bilateral on both axes"""
gemini,floors_estimate,v1:building_031,unsupported_top_level_field,1
gemini,roof_type,v1:building_031,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_033,unsupported_top_level_field,"""rectangular block"""
gemini,footprint_hint,v1:building_033,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_033,unsupported_top_level_field,"""mostly symmetrical, broken only by an entrance on one side"""
gemini,floors_estimate,v1:building_033,unsupported_top_level_field,1
gemini,roof_type,v1:building_033,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_036,unsupported_top_level_field,"""rectangular"""
gemini,footprint_hint,v1:building_036,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_036,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_036,unsupported_top_level_field,1
gemini,roof_type,v1:building_036,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_040,unsupported_top_level_field,"""rectangular prism"""
gemini,footprint_hint,v1:building_040,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_040,unsupported_top_level_field,"""bilateral on both axes"""
gemini,floors_estimate,v1:building_040,unsupported_top_level_field,2
gemini,roof_type,v1:building_040,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_041,unsupported_top_level_field,"""rectangular"""
gemini,footprint_hint,v1:building_041,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_041,unsupported_top_level_field,"""symmetrical"""
gemini,floors_estimate,v1:building_041,unsupported_top_level_field,1
gemini,roof_type,v1:building_041,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_042,unsupported_top_level_field,"""square prism with a stepped gable roof"""
gemini,footprint_hint,v1:building_042,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_042,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_042,unsupported_top_level_field,1
gemini,roof_type,v1:building_042,unsupported_top_level_field,"""gable"""
gemini,overall_form,v1:building_044,unsupported_top_level_field,"""rectangular prism"""
gemini,footprint_hint,v1:building_044,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_044,unsupported_top_level_field,"""bilateral and rotational"""
gemini,floors_estimate,v1:building_044,unsupported_top_level_field,2
gemini,roof_type,v1:building_044,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_047,unsupported_top_level_field,"""rectangular block with a curved, barrel-vault-like roof"""
gemini,footprint_hint,v1:building_047,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_047,unsupported_top_level_field,"""bilateral on both axes"""
gemini,floors_estimate,v1:building_047,unsupported_top_level_field,1
gemini,roof_type,v1:building_047,unsupported_top_level_field,"""other"""
gemini,overall_form,v1:building_053,unsupported_top_level_field,"""rectangular with vaulted roof"""
gemini,footprint_hint,v1:building_053,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_053,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_053,unsupported_top_level_field,1
gemini,roof_type,v1:building_053,unsupported_top_level_field,"""other"""
gemini,overall_form,v1:building_056,unsupported_top_level_field,"""rectangular box"""
gemini,footprint_hint,v1:building_056,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_056,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_056,unsupported_top_level_field,1
gemini,roof_type,v1:building_056,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_060,unsupported_top_level_field,"""rectangular prism with a barrel-vaulted roof"""
gemini,footprint_hint,v1:building_060,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_060,unsupported_top_level_field,"""bilateral on both axes"""
gemini,floors_estimate,v1:building_060,unsupported_top_level_field,1
gemini,roof_type,v1:building_060,unsupported_top_level_field,"""other"""
gemini,overall_form,v1:building_062,unsupported_top_level_field,"""rectangular block with a gable roof"""
gemini,footprint_hint,v1:building_062,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_062,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_062,unsupported_top_level_field,2
gemini,roof_type,v1:building_062,unsupported_top_level_field,"""gable"""
gemini,overall_form,v1:building_066,unsupported_top_level_field,"""rectangular block with a curved roof"""
gemini,footprint_hint,v1:building_066,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_066,unsupported_top_level_field,"""bilateral on both axes"""
gemini,floors_estimate,v1:building_066,unsupported_top_level_field,2
gemini,roof_type,v1:building_066,unsupported_top_level_field,"""other"""
gemini,overall_form,v1:building_067,unsupported_top_level_field,"""rectangular prism with a gable roof"""
gemini,footprint_hint,v1:building_067,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_067,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_067,unsupported_top_level_field,1
gemini,roof_type,v1:building_067,unsupported_top_level_field,"""gable"""
gemini,overall_form,v1:building_069,unsupported_top_level_field,"""rectangular prism"""
gemini,footprint_hint,v1:building_069,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_069,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_069,unsupported_top_level_field,2
gemini,roof_type,v1:building_069,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_080,unsupported_top_level_field,"""rectangular prism"""
gemini,footprint_hint,v1:building_080,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_080,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_080,unsupported_top_level_field,1
gemini,roof_type,v1:building_080,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_088,unsupported_top_level_field,"""rectangular prism with a gable roof"""
gemini,footprint_hint,v1:building_088,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_088,unsupported_top_level_field,"""mostly symmetrical along the longitudinal axis, with a chimney on one gable end"""
gemini,floors_estimate,v1:building_088,unsupported_top_level_field,1
gemini,roof_type,v1:building_088,unsupported_top_level_field,"""gable"""
gemini,overall_form,v1:building_089,unsupported_top_level_field,"""rectangular block"""
gemini,footprint_hint,v1:building_089,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_089,unsupported_top_level_field,"""bilateral"""
gemini,floors_estimate,v1:building_089,unsupported_top_level_field,1
gemini,roof_type,v1:building_089,unsupported_top_level_field,"""flat"""
gemini,overall_form,v1:building_090,unsupported_top_level_field,"""rectangular block"""
gemini,footprint_hint,v1:building_090,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_090,unsupported_top_level_field,"""highly symmetrical on all axes"""
gemini,floors_estimate,v1:building_090,unsupported_top_level_field,2
gemini,roof_type,v1:building_090,unsupported_top_level_field,"""gable"""
gemini,overall_form,v1:building_091,unsupported_top_level_field,"""rectangular prism"""
gemini,footprint_hint,v1:building_091,unsupported_top_level_field,"""rectangle"""
gemini,symmetry,v1:building_091,unsupported_top_level_field,"""bilateral"""
