ambiguous_context_marker,description_model,field_path,scene_id,source_found,status,value
estimate,openai,shape.floors_estimate,v1:building_000,True,consistent_copied_value,2
estimate,openai,dimensions_estimate.width,v1:building_000,True,consistent_copied_value,9
,openai,dimensions_estimate.depth,v1:building_000,True,consistent_copied_value,17
estimate,openai,dimensions_estimate.height,v1:building_000,True,consistent_copied_value,9
estimate,claude,shape.floors_estimate,v1:building_000,True,consistent_copied_value,2
estimate,claude,dimensions_estimate.width,v1:building_000,True,consistent_copied_value,10
estimate,claude,dimensions_estimate.depth,v1:building_000,True,consistent_copied_value,10
,claude,dimensions_estimate.height,v1:building_000,True,consistent_copied_value,12
estimate,gemini,shape.floors_estimate,v1:building_000,True,consistent_copied_value,2
estimate,gemini,dimensions_estimate.width,v1:building_000,True,consistent_copied_value,13
,gemini,dimensions_estimate.depth,v1:building_000,True,consistent_copied_value,10
,gemini,dimensions_estimate.height,v1:building_000,True,consistent_copied_value,11
estimate,openai,shape.floors_estimate,v1:building_001,True,consistent_copied_value,2
estimate,openai,dimensions_estimate.width,v1:building_001,True,consistent_copied_value,11
,openai,dimensions_estimate.depth,v1:building_001,True,consistent_copied_value,7
,openai,dimensions_estimate.height,v1:building_001,True,consistent_copied_value,9
estimate,claude,shape.floors_estimate,v1:building_001,True,consistent_copied_value,2
estimate,claude,dimensions_estimate.width,v1:building_001,True,consistent_copied_value,12
,claude,dimensions_estimate.depth,v1:building_001,True,consistent_copied_value,10
,claude,dimensions_estimate.height,v1:building_001,True,consistent_copied_value,10
estimate,gemini,shape.floors_estimate,v1:building_001,True,consistent_copied_value,2
estimate,gemini,dimensions_estimate.width,v1:building_001,True,consistent_copied_value,13
,gemini,dimensions_estimate.depth,v1:building_001,True,consistent_copied_value,17
estimate,gemini,dimensions_estimate.height,v1:building_001,True,consistent_copied_value,13
estimate,openai,shape.floors_estimate,v1:building_002,True,consistent_copied_value,1
estimate,openai,dimensions_estimate.width,v1:building_002,True,consistent_copied_value,9
,openai,dimensions_estimate.depth,v1:building_002,True,consistent_copied_value,13
,openai,dimensions_estimate.height,v1:building_002,True,consistent_copied_value,6
estimate,claude,shape.floors_estimate,v1:building_002,True,consistent_copied_value,1
estimate,claude,dimensions_estimate.width,v1:building_002,True,consistent_copied_value,10
,claude,dimensions_estimate.depth,v1:building_002,True,consistent_copied_value,12
,claude,dimensions_estimate.height,v1:building_002,True,consistent_copied_value,8
estimate,gemini,shape.floors_estimate,v1:building_002,True,consistent_copied_value,1
estimate,gemini,dimensions_estimate.width,v1:building_002,True,consistent_copied_value,12
,gemini,dimensions_estimate.depth,v1:building_002,True,consistent_copied_value,15
,gemini,dimensions_estimate.height,v1:building_002,True,consistent_copied_value,8
estimate,openai,shape.floors_estimate,v1:building_003,True,consistent_copied_value,1
estimate,openai,dimensions_estimate.width,v1:building_003,True,consistent_copied_value,11
,openai,dimensions_estimate.depth,v1:building_003,True,consistent_copied_value,19
,openai,dimensions_estimate.height,v1:building_003,True,consistent_copied_value,6
estimate,claude,shape.floors_estimate,v1:building_003,True,consistent_copied_value,1
estimate,claude,dimensions_estimate.width,v1:building_003,True,consistent_copied_value,10
,claude,dimensions_estimate.depth,v1:building_003,True,consistent_copied_value,8
,claude,dimensions_estimate.height,v1:building_003,True,consistent_copied_value,6
estimate,gemini,shape.floors_estimate,v1:building_003,True,consistent_copied_value,1
estimate,gemini,dimensions_estimate.width,v1:building_003,True,consistent_copied_value,16
,gemini,dimensions_estimate.depth,v1:building_003,True,consistent_copied_value,20
,gemini,dimensions_estimate.height,v1:building_003,True,consistent_copied_value,9
estimate,openai,shape.floors_estimate,v1:building_004,True,consistent_copied_value,1
estimate,openai,dimensions_estimate.width,v1:building_004,True,consistent_copied_value,7
,openai,dimensions_estimate.depth,v1:building_004,True,consistent_copied_value,11
,openai,dimensions_estimate.height,v1:building_004,True,consistent_copied_value,6
estimate,claude,shape.floors_estimate,v1:building_004,True,consistent_copied_value,1
estimate,claude,dimensions_estimate.width,v1:building_004,True,consistent_copied_value,8
estimate,claude,dimensions_estimate.depth,v1:building_004,True,consistent_copied_value,8
,claude,dimensions_estimate.height,v1:building_004,True,consistent_copied_value,9
estimate,gemini,shape.floors_estimate,v1:building_004,True,consistent_copied_value,1
estimate,gemini,dimensions_estimate.width,v1:building_004,True,consistent_copied_value,12
,gemini,dimensions_estimate.depth,v1:building_004,True,consistent_copied_value,15
,gemini,dimensions_estimate.height,v1:building_004,True,consistent_copied_value,10
estimate,openai,shape.floors_estimate,v1:building_005,True,consistent_copied_value,1
estimate,openai,dimensions_estimate.width,v1:building_005,True,consistent_copied_value,13
estimate,openai,dimensions_estimate.depth,v1:building_005,True,consistent_copied_value,13
,openai,dimensions_estimate.height,v1:building_005,True,consistent_copied_value,7
estimate,claude,shape.floors_estimate,v1:building_005,True,consistent_copied_value,1
estimate,claude,dimensions_estimate.width,v1:building_005,True,consistent_copied_value,12
,claude,dimensions_estimate.depth,v1:building_005,True,consistent_copied_value,10
,claude,dimensions_estimate.height,v1:building_005,True,consistent_copied_value,8
estimate,gemini,shape.floors_estimate,v1:building_005,True,consistent_copied_value,1
estimate,gemini,dimensions_estimate.width,v1:building_005,True,consistent_copied_value,18
,gemini,dimensions_estimate.depth,v1:building_005,True,consistent_copied_value,15
,gemini,dimensions_estimate.height,v1:building_005,True,consistent_copied_value,9
estimate,openai,shape.floors_estimate,v1:building_006,True,consistent_copied_value,1
estimate,openai,dimensions_estimate.width,v1:building_006,True,consistent_copied_value,11
,openai,dimensions_estimate.depth,v1:building_006,True,consistent_copied_value,25
,openai,dimensions_estimate.height,v1:building_006,True,consistent_copied_value,5
estimate,claude,shape.floors_estimate,v1:building_006,True,consistent_copied_value,1
estimate,claude,dimensions_estimate.width,v1:building_006,True,consistent_copied_value,8
,claude,dimensions_estimate.depth,v1:building_006,True,consistent_copied_value,12
,claude,dimensions_estimate.height,v1:building_006,True,consistent_copied_value,5
estimate,gemini,shape.floors_estimate,v1:building_006,True,consistent_copied_value,1
estimate,gemini,dimensions_estimate.width,v1:building_006,True,consistent_copied_value,12
,gemini,dimensions_estimate.depth,v1:building_006,True,consistent_copied_value,15
,gemini,dimensions_estimate.height,v1:building_006,True,consistent_copied_value,6
estimate,openai,shape.floors_estimate,v1:building_007,True,consistent_copied_value,1
estimate,openai,dimensions_estimate.width,v1:building_007,True,consistent_copied_value,12
estimate,openai,dimensions_estimate.depth,v1:building_007,True,consistent_copied_value,12
,openai,dimensions_estimate.height,v1:building_007,True,consistent_copied_value,5
estimate,claude,shape.floors_estimate,v1:building_007,True,consistent_copied_value,1
estimate,claude,dimensions_estimate.width,v1:building_007,True,consistent_copied_value,12
,claude,dimensions_estimate.depth,v1:building_007,True,consistent_copied_value,18
,claude,dimensions_estimate.height,v1:building_007,True,consistent_copied_value,5
estimate,gemini,shape.floors_estimate,v1:building_007,True,consistent_copied_value,1
estimate,gemini,dimensions_estimate.width,v1:building_007,True,consistent_copied_value,1
estimate,gemini,dimensions_estimate.depth,v1:building_007,True,consistent_copied_value,1
estimate,gemini,dimensions_estimate.height,v1:building_007,True,consistent_copied_value,1
estimate,openai,shape.floors_estimate,v1:building_008,True,consistent_copied_value,2
estimate,openai,dimensions_estimate.width,v1:building_008,True,consistent_copied_value,9
,openai,dimensions_estimate.depth,v1:building_008,True,consistent_copied_value,15
,openai,dimensions_estimate.height,v1:building_008,True,consistent_copied_value,8
estimate,claude,shape.floors_estimate,v1:building_008,True,consistent_copied_value,2
