description_model,free_present,relation,scene_id,status,structured_present
openai,True,front,v1:building_000,consistent,True
openai,True,back,v1:building_000,consistent,True
openai,True,above,v1:building_000,consistent,True
openai,True,below,v1:building_000,consistent,True
openai,True,centered,v1:building_000,consistent,True
openai,True,symmetric,v1:building_000,consistent,True
openai,True,along,v1:building_000,consistent,True
openai,True,around,v1:building_000,consistent,True
claude,True,front,v1:building_000,consistent,True
claude,True,back,v1:building_000,consistent,True
claude,True,centered,v1:building_000,consistent,True
claude,True,along,v1:building_000,consistent,True
claude,True,around,v1:building_000,consistent,True
gemini,True,above,v1:building_000,consistent,True
gemini,True,symmetric,v1:building_000,consistent,True
openai,True,front,v1:building_001,consistent,True
openai,True,back,v1:building_001,consistent,True
openai,True,centered,v1:building_001,consistent,True
openai,True,symmetric,v1:building_001,consistent,True
openai,True,along,v1:building_001,consistent,True
openai,True,around,v1:building_001,consistent,True
claude,True,above,v1:building_001,consistent,True
claude,True,below,v1:building_001,consistent,True
claude,True,centered,v1:building_001,consistent,True
claude,True,symmetric,v1:building_001,consistent,True
claude,True,along,v1:building_001,consistent,True
claude,True,around,v1:building_001,consistent,True
gemini,True,front,v1:building_001,consistent,True
gemini,True,back,v1:building_001,consistent,True
openai,True,centered,v1:building_002,consistent,True
openai,True,symmetric,v1:building_002,consistent,True
openai,True,along,v1:building_002,consistent,True
openai,True,around,v1:building_002,consistent,True
claude,True,front,v1:building_002,consistent,True
claude,True,centered,v1:building_002,consistent,True
claude,True,symmetric,v1:building_002,consistent,True
claude,True,along,v1:building_002,consistent,True
gemini,True,along,v1:building_002,consistent,True
openai,True,above,v1:building_003,consistent,True
openai,True,centered,v1:building_003,consistent,True
openai,True,symmetric,v1:building_003,consistent,True
openai,True,outside,v1:building_003,consistent,True
openai,True,along,v1:building_003,consistent,True
openai,True,around,v1:building_003,consistent,True
claude,True,front,v1:building_003,consistent,True
claude,True,back,v1:building_003,consistent,True
claude,True,along,v1:building_003,consistent,True
gemini,True,symmetric,v1:building_003,consistent,True
gemini,True,along,v1:building_003,consistent,True
gemini,True,around,v1:building_003,consistent,True
openai,True,centered,v1:building_004,consistent,True
openai,True,along,v1:building_004,consistent,True
openai,True,around,v1:building_004,consistent,True
claude,True,around,v1:building_004,consistent,True
gemini,True,front,v1:building_004,consistent,True
gemini,True,back,v1:building_004,consistent,True
gemini,True,symmetric,v1:building_004,consistent,True
openai,True,left,v1:building_005,consistent,True
openai,True,right,v1:building_005,consistent,True
openai,True,front,v1:building_005,consistent,True
openai,True,back,v1:building_005,consistent,True
openai,True,below,v1:building_005,consistent,True
openai,True,centered,v1:building_005,consistent,True
openai,True,symmetric,v1:building_005,consistent,True
openai,True,inside,v1:building_005,consistent,True
openai,True,along,v1:building_005,consistent,True
openai,True,around,v1:building_005,consistent,True
claude,True,front,v1:building_005,consistent,True
claude,True,back,v1:building_005,consistent,True
claude,True,centered,v1:building_005,consistent,True
claude,True,symmetric,v1:building_005,consistent,True
claude,True,along,v1:building_005,consistent,True
claude,True,around,v1:building_005,consistent,True
gemini,True,front,v1:building_005,consistent,True
gemini,True,back,v1:building_005,consistent,True
gemini,True,above,v1:building_005,consistent,True
openai,True,left,v1:building_006,consistent,True
openai,True,right,v1:building_006,consistent,True
openai,True,front,v1:building_006,consistent,True
openai,True,back,v1:building_006,consistent,True
openai,True,above,v1:building_006,consistent,True
openai,True,centered,v1:building_006,consistent,True
openai,True,symmetric,v1:building_006,consistent,True
openai,True,inside,v1:building_006,consistent,True
openai,True,along,v1:building_006,consistent,True
openai,True,around,v1:building_006,consistent,True
claude,True,front,v1:building_006,consistent,True
claude,True,centered,v1:building_006,consistent,True
claude,True,along,v1:building_006,consistent,True
gemini,True,above,v1:building_006,consistent,True
openai,True,centered,v1:building_007,consistent,True
openai,True,symmetric,v1:building_007,consistent,True
openai,True,around,v1:building_007,consistent,True
claude,True,below,v1:building_007,consistent,True
claude,True,along,v1:building_007,consistent,True
openai,True,front,v1:building_008,consistent,True
openai,True,back,v1:building_008,consistent,True
openai,True,centered,v1:building_008,consistent,True
openai,True,symmetric,v1:building_008,consistent,True
openai,True,along,v1:building_008,consistent,True
openai,True,around,v1:building_008,consistent,True
claude,True,front,v1:building_008,consistent,True
claude,True,back,v1:building_008,consistent,True
claude,True,symmetric,v1:building_008,consistent,True
claude,True,along,v1:building_008,consistent,True
gemini,True,front,v1:building_008,consistent,True
gemini,True,back,v1:building_008,consistent,True
gemini,True,around,v1:building_008,consistent,True
openai,True,above,v1:building_009,consistent,True
openai,True,centered,v1:building_009,consistent,True
openai,True,adjacent,v1:building_009,consistent,True
openai,True,symmetric,v1:building_009,consistent,True
openai,True,along,v1:building_009,consistent,True
openai,True,around,v1:building_009,consistent,True
claude,True,front,v1:building_009,consistent,True
claude,True,back,v1:building_009,consistent,True
claude,True,above,v1:building_009,consistent,True
claude,True,symmetric,v1:building_009,consistent,True
claude,True,around,v1:building_009,consistent,True
gemini,True,above,v1:building_009,consistent,True
openai,True,above,v1:building_010,consistent,True
openai,True,centered,v1:building_010,consistent,True
openai,True,symmetric,v1:building_010,consistent,True
openai,True,along,v1:building_010,consistent,True
openai,True,around,v1:building_010,consistent,True
claude,True,above,v1:building_010,consistent,True
claude,True,centered,v1:building_010,consistent,True
claude,True,along,v1:building_010,consistent,True
claude,True,around,v1:building_010,consistent,True
gemini,True,front,v1:building_010,consistent,True
gemini,True,back,v1:building_010,consistent,True
openai,True,above,v1:building_011,consistent,True
openai,True,below,v1:building_011,consistent,True
openai,True,centered,v1:building_011,consistent,True
openai,True,symmetric,v1:building_011,consistent,True
openai,True,along,v1:building_011,consistent,True
openai,True,around,v1:building_011,consistent,True
claude,True,symmetric,v1:building_011,consistent,True
claude,True,along,v1:building_011,consistent,True
openai,True,above,v1:building_012,consistent,True
openai,True,centered,v1:building_012,consistent,True
openai,True,symmetric,v1:building_012,consistent,True
openai,True,along,v1:building_012,consistent,True
openai,True,around,v1:building_012,consistent,True
claude,True,above,v1:building_012,consistent,True
claude,True,along,v1:building_012,consistent,True
gemini,True,above,v1:building_012,consistent,True
openai,True,front,v1:building_013,consistent,True
openai,True,back,v1:building_013,consistent,True
openai,True,above,v1:building_013,consistent,True
openai,True,centered,v1:building_013,consistent,True
openai,True,symmetric,v1:building_013,consistent,True
openai,True,inside,v1:building_013,consistent,True
openai,True,outside,v1:building_013,consistent,True
openai,True,along,v1:building_013,consistent,True
openai,True,around,v1:building_013,consistent,True
claude,True,front,v1:building_013,consistent,True
claude,True,below,v1:building_013,consistent,True
claude,True,along,v1:building_013,consistent,True
openai,True,centered,v1:building_014,consistent,True
openai,True,symmetric,v1:building_014,consistent,True
openai,True,along,v1:building_014,consistent,True
openai,True,around,v1:building_014,consistent,True
claude,True,front,v1:building_014,consistent,True
claude,True,back,v1:building_014,consistent,True
claude,True,symmetric,v1:building_014,consistent,True
claude,True,along,v1:building_014,consistent,True
gemini,True,along,v1:building_014,consistent,True
openai,True,left,v1:building_015,consistent,True
openai,True,right,v1:building_015,consistent,True
openai,True,front,v1:building_015,consistent,True
openai,True,back,v1:building_015,consistent,True
openai,True,above,v1:building_015,consistent,True
openai,True,centered,v1:building_015,consistent,True
openai,True,symmetric,v1:building_015,consistent,True
openai,True,along,v1:building_015,consistent,True
openai,True,around,v1:building_015,consistent,True
claude,True,front,v1:building_015,consistent,True
claude,True,centered,v1:building_015,consistent,True
claude,True,along,v1:building_015,consistent,True
claude,True,around,v1:building_015,consistent,True
gemini,True,symmetric,v1:building_015,consistent,True
gemini,True,along,v1:building_015,consistent,True
gemini,True,around,v1:building_015,consistent,True
openai,True,above,v1:building_016,consistent,True
openai,True,below,v1:building_016,consistent,True
openai,True,centered,v1:building_016,consistent,True
openai,True,symmetric,v1:building_016,consistent,True
openai,True,around,v1:building_016,consistent,True
claude,True,front,v1:building_016,consistent,True
claude,True,back,v1:building_016,consistent,True
claude,True,below,v1:building_016,consistent,True
claude,True,along,v1:building_016,consistent,True
gemini,True,above,v1:building_016,consistent,True
gemini,True,symmetric,v1:building_016,consistent,True
openai,True,front,v1:building_017,consistent,True
openai,True,centered,v1:building_017,consistent,True
openai,True,symmetric,v1:building_017,consistent,True
openai,True,along,v1:building_017,consistent,True
openai,True,around,v1:building_017,consistent,True
claude,True,front,v1:building_017,consistent,True
claude,True,back,v1:building_017,consistent,True
claude,True,above,v1:building_017,consistent,True
claude,True,symmetric,v1:building_017,consistent,True
claude,True,along,v1:building_017,consistent,True
gemini,True,symmetric,v1:building_017,consistent,True
openai,True,front,v1:building_018,consistent,True
openai,True,back,v1:building_018,consistent,True
openai,True,above,v1:building_018,consistent,True
openai,True,centered,v1:building_018,consistent,True
openai,True,symmetric,v1:building_018,consistent,True
openai,True,along,v1:building_018,consistent,True
openai,True,around,v1:building_018,consistent,True
claude,True,along,v1:building_018,consistent,True
openai,True,above,v1:building_019,consistent,True
openai,True,centered,v1:building_019,consistent,True
openai,True,symmetric,v1:building_019,consistent,True
openai,True,along,v1:building_019,consistent,True
openai,True,around,v1:building_019,consistent,True
claude,True,front,v1:building_019,consistent,True
claude,True,below,v1:building_019,consistent,True
claude,True,symmetric,v1:building_019,consistent,True
claude,True,along,v1:building_019,consistent,True
claude,True,around,v1:building_019,consistent,True
openai,True,left,v1:building_020,consistent,True
openai,True,right,v1:building_020,consistent,True
openai,True,front,v1:building_020,consistent,True
openai,True,back,v1:building_020,consistent,True
openai,True,above,v1:building_020,consistent,True
openai,True,centered,v1:building_020,consistent,True
openai,True,symmetric,v1:building_020,consistent,True
openai,True,along,v1:building_020,consistent,True
openai,True,around,v1:building_020,consistent,True
claude,True,front,v1:building_020,consistent,True
claude,True,back,v1:building_020,consistent,True
claude,True,symmetric,v1:building_020,consistent,True
claude,True,around,v1:building_020,consistent,True
openai,True,centered,v1:building_021,consistent,True
openai,True,symmetric,v1:building_021,consistent,True
openai,True,along,v1:building_021,consistent,True
openai,True,around,v1:building_021,consistent,True
claude,True,front,v1:building_021,consistent,True
claude,True,back,v1:building_021,consistent,True
claude,True,along,v1:building_021,consistent,True
gemini,True,symmetric,v1:building_021,consistent,True
gemini,True,along,v1:building_021,consistent,True
openai,True,left,v1:building_022,consistent,True
openai,True,right,v1:building_022,consistent,True
openai,True,front,v1:building_022,consistent,True
openai,True,back,v1:building_022,consistent,True
openai,True,centered,v1:building_022,consistent,True
openai,True,symmetric,v1:building_022,consistent,True
openai,True,along,v1:building_022,consistent,True
openai,True,around,v1:building_022,consistent,True
claude,True,front,v1:building_022,consistent,True
claude,True,above,v1:building_022,consistent,True
claude,True,symmetric,v1:building_022,consistent,True
gemini,True,left,v1:building_022,consistent,True
gemini,True,front,v1:building_022,consistent,True
gemini,True,back,v1:building_022,consistent,True
gemini,True,symmetric,v1:building_022,consistent,True
openai,True,left,v1:building_023,consistent,True
openai,True,right,v1:building_023,consistent,True
openai,True,front,v1:building_023,consistent,True
openai,True,back,v1:building_023,consistent,True
openai,True,below,v1:building_023,consistent,True
openai,True,centered,v1:building_023,consistent,True
openai,True,symmetric,v1:building_023,consistent,True
openai,True,outside,v1:building_023,consistent,True
openai,True,along,v1:building_023,consistent,True
openai,True,around,v1:building_023,consistent,True
claude,True,along,v1:building_023,consistent,True
claude,True,around,v1:building_023,consistent,True
gemini,True,along,v1:building_023,consistent,True
gemini,True,around,v1:building_023,consistent,True
openai,True,left,v1:building_024,consistent,True
openai,True,right,v1:building_024,consistent,True
openai,True,above,v1:building_024,consistent,True
openai,True,below,v1:building_024,consistent,True
openai,True,symmetric,v1:building_024,consistent,True
openai,True,along,v1:building_024,consistent,True
openai,True,around,v1:building_024,consistent,True
claude,True,front,v1:building_024,consistent,True
claude,True,along,v1:building_024,consistent,True
gemini,True,above,v1:building_024,consistent,True
gemini,True,symmetric,v1:building_024,consistent,True
gemini,True,along,v1:building_024,consistent,True
gemini,True,around,v1:building_024,consistent,True
openai,True,centered,v1:building_025,consistent,True
openai,True,symmetric,v1:building_025,consistent,True
openai,True,along,v1:building_025,consistent,True
openai,True,around,v1:building_025,consistent,True
claude,True,above,v1:building_025,consistent,True
claude,True,along,v1:building_025,consistent,True
claude,True,around,v1:building_025,consistent,True
gemini,True,symmetric,v1:building_025,consistent,True
gemini,True,along,v1:building_025,consistent,True
openai,True,above,v1:building_026,consistent,True
openai,True,centered,v1:building_026,consistent,True
openai,True,symmetric,v1:building_026,consistent,True
openai,True,inside,v1:building_026,consistent,True
openai,True,along,v1:building_026,consistent,True
openai,True,around,v1:building_026,consistent,True
claude,True,front,v1:building_026,consistent,True
claude,True,centered,v1:building_026,consistent,True
claude,True,symmetric,v1:building_026,consistent,True
claude,True,along,v1:building_026,consistent,True
gemini,True,above,v1:building_026,consistent,True
openai,True,symmetric,v1:building_027,consistent,True
openai,True,along,v1:building_027,consistent,True
openai,True,around,v1:building_027,consistent,True
claude,True,front,v1:building_027,consistent,True
claude,True,symmetric,v1:building_027,consistent,True
claude,True,around,v1:building_027,consistent,True
gemini,True,front,v1:building_027,consistent,True
gemini,True,back,v1:building_027,consistent,True
gemini,True,along,v1:building_027,consistent,True
openai,True,centered,v1:building_028,consistent,True
openai,True,symmetric,v1:building_028,consistent,True
openai,True,along,v1:building_028,consistent,True
openai,True,around,v1:building_028,consistent,True
claude,True,left,v1:building_028,consistent,True
claude,True,right,v1:building_028,consistent,True
claude,True,front,v1:building_028,consistent,True
claude,True,back,v1:building_028,consistent,True
claude,True,symmetric,v1:building_028,consistent,True
claude,True,around,v1:building_028,consistent,True
gemini,True,symmetric,v1:building_028,dropped,False
gemini,True,along,v1:building_028,dropped,False
openai,True,left,v1:building_029,consistent,True
openai,True,right,v1:building_029,consistent,True
openai,True,front,v1:building_029,consistent,True
openai,True,back,v1:building_029,consistent,True
openai,True,symmetric,v1:building_029,consistent,True
openai,True,along,v1:building_029,consistent,True
openai,True,around,v1:building_029,consistent,True
claude,True,front,v1:building_029,consistent,True
claude,True,back,v1:building_029,consistent,True
claude,True,above,v1:building_029,consistent,True
claude,True,centered,v1:building_029,consistent,True
claude,True,symmetric,v1:building_029,consistent,True
claude,True,along,v1:building_029,consistent,True
gemini,True,symmetric,v1:building_029,consistent,True
gemini,True,along,v1:building_029,consistent,True
openai,True,centered,v1:building_030,consistent,True
openai,True,symmetric,v1:building_030,consistent,True
openai,True,along,v1:building_030,consistent,True
openai,True,around,v1:building_030,consistent,True
claude,True,centered,v1:building_030,consistent,True
claude,True,along,v1:building_030,consistent,True
gemini,True,above,v1:building_030,consistent,True
openai,True,back,v1:building_031,consistent,True
openai,True,above,v1:building_031,consistent,True
openai,True,below,v1:building_031,consistent,True
openai,True,adjacent,v1:building_031,consistent,True
openai,True,symmetric,v1:building_031,consistent,True
openai,True,along,v1:building_031,consistent,True
openai,True,around,v1:building_031,consistent,True
claude,True,below,v1:building_031,consistent,True
claude,True,along,v1:building_031,consistent,True
openai,True,above,v1:building_032,consistent,True
openai,True,below,v1:building_032,consistent,True
openai,True,centered,v1:building_032,consistent,True
openai,True,symmetric,v1:building_032,consistent,True
openai,True,along,v1:building_032,consistent,True
openai,True,around,v1:building_032,consistent,True
claude,True,front,v1:building_032,consistent,True
claude,True,along,v1:building_032,consistent,True
claude,True,around,v1:building_032,consistent,True
gemini,True,above,v1:building_032,consistent,True
openai,True,left,v1:building_033,consistent,True
openai,True,right,v1:building_033,consistent,True
openai,True,front,v1:building_033,consistent,True
openai,True,back,v1:building_033,consistent,True
openai,True,above,v1:building_033,consistent,True
openai,True,below,v1:building_033,consistent,True
openai,True,symmetric,v1:building_033,consistent,True
openai,True,along,v1:building_033,consistent,True
openai,True,around,v1:building_033,consistent,True
claude,True,below,v1:building_033,consistent,True
claude,True,symmetric,v1:building_033,consistent,True
claude,True,along,v1:building_033,consistent,True
claude,True,around,v1:building_033,consistent,True
gemini,True,symmetric,v1:building_033,dropped,False
openai,True,above,v1:building_034,consistent,True
openai,True,symmetric,v1:building_034,consistent,True
openai,True,along,v1:building_034,consistent,True
openai,True,around,v1:building_034,consistent,True
claude,True,front,v1:building_034,consistent,True
claude,True,back,v1:building_034,consistent,True
claude,True,above,v1:building_034,consistent,True
claude,True,below,v1:building_034,consistent,True
claude,True,symmetric,v1:building_034,consistent,True
claude,True,along,v1:building_034,consistent,True
claude,True,around,v1:building_034,consistent,True
gemini,True,symmetric,v1:building_034,consistent,True
openai,True,front,v1:building_035,consistent,True
openai,True,back,v1:building_035,consistent,True
openai,True,centered,v1:building_035,consistent,True
openai,True,symmetric,v1:building_035,consistent,True
openai,True,along,v1:building_035,consistent,True
openai,True,around,v1:building_035,consistent,True
claude,True,front,v1:building_035,consistent,True
claude,True,back,v1:building_035,consistent,True
claude,True,symmetric,v1:building_035,consistent,True
gemini,True,symmetric,v1:building_035,consistent,True
gemini,True,around,v1:building_035,consistent,True
openai,True,above,v1:building_036,consistent,True
openai,True,below,v1:building_036,consistent,True
openai,True,centered,v1:building_036,consistent,True
openai,True,symmetric,v1:building_036,consistent,True
openai,True,inside,v1:building_036,consistent,True
openai,True,along,v1:building_036,consistent,True
openai,True,around,v1:building_036,consistent,True
claude,True,front,v1:building_036,consistent,True
claude,True,back,v1:building_036,consistent,True
claude,True,above,v1:building_036,consistent,True
claude,True,symmetric,v1:building_036,consistent,True
claude,True,along,v1:building_036,consistent,True
claude,True,around,v1:building_036,consistent,True
openai,True,above,v1:building_037,consistent,True
openai,True,below,v1:building_037,consistent,True
openai,True,centered,v1:building_037,consistent,True
openai,True,symmetric,v1:building_037,consistent,True
openai,True,along,v1:building_037,consistent,True
openai,True,around,v1:building_037,consistent,True
claude,True,above,v1:building_037,consistent,True
claude,True,below,v1:building_037,consistent,True
claude,True,centered,v1:building_037,consistent,True
claude,True,along,v1:building_037,consistent,True
claude,True,around,v1:building_037,consistent,True
gemini,True,above,v1:building_037,consistent,True
openai,True,above,v1:building_038,consistent,True
openai,True,below,v1:building_038,consistent,True
openai,True,centered,v1:building_038,consistent,True
openai,True,symmetric,v1:building_038,consistent,True
openai,True,outside,v1:building_038,consistent,True
openai,True,along,v1:building_038,consistent,True
openai,True,around,v1:building_038,consistent,True
claude,True,front,v1:building_038,consistent,True
claude,True,symmetric,v1:building_038,consistent,True
claude,True,along,v1:building_038,consistent,True
gemini,True,above,v1:building_038,consistent,True
openai,True,above,v1:building_039,consistent,True
openai,True,centered,v1:building_039,consistent,True
openai,True,symmetric,v1:building_039,consistent,True
openai,True,outside,v1:building_039,consistent,True
openai,True,along,v1:building_039,consistent,True
openai,True,around,v1:building_039,consistent,True
claude,True,front,v1:building_039,consistent,True
claude,True,symmetric,v1:building_039,consistent,True
claude,True,along,v1:building_039,consistent,True
claude,True,around,v1:building_039,consistent,True
gemini,True,symmetric,v1:building_039,consistent,True
gemini,True,along,v1:building_039,consistent,True
openai,True,left,v1:building_040,consistent,True
openai,True,right,v1:building_040,consistent,True
