description_model,free_present,marker,scene_id,status,structured_present
openai,True,around,v1:building_000,preserved,True
openai,True,a few,v1:building_000,preserved,True
openai,True,uncertain,v1:building_000,preserved,True
openai,True,estimate,v1:building_000,preserved,True
claude,True,approximately,v1:building_000,preserved,True
claude,True,around,v1:building_000,preserved,True
claude,True,uncertain,v1:building_000,preserved,True
claude,True,appears,v1:building_000,preserved,True
claude,True,estimate,v1:building_000,preserved,True
gemini,True,uncertain,v1:building_000,preserved,True
gemini,True,estimate,v1:building_000,preserved,True
openai,True,around,v1:building_001,preserved,True
openai,True,uncertain,v1:building_001,preserved,True
openai,True,appears,v1:building_001,preserved,True
openai,True,estimate,v1:building_001,preserved,True
claude,True,approximately,v1:building_001,preserved,True
claude,True,around,v1:building_001,preserved,True
claude,True,multiple,v1:building_001,preserved,True
claude,True,uncertain,v1:building_001,preserved,True
claude,True,possibly,v1:building_001,preserved,True
claude,True,appears,v1:building_001,preserved,True
claude,True,estimate,v1:building_001,preserved,True
gemini,True,uncertain,v1:building_001,preserved,True
gemini,True,estimate,v1:building_001,preserved,True
openai,True,roughly,v1:building_002,preserved,True
openai,True,around,v1:building_002,preserved,True
openai,True,a few,v1:building_002,preserved,True
openai,True,uncertain,v1:building_002,preserved,True
openai,True,appears,v1:building_002,preserved,True
openai,True,estimate,v1:building_002,preserved,True
claude,True,approximately,v1:building_002,preserved,True
claude,True,uncertain,v1:building_002,preserved,True
claude,True,estimate,v1:building_002,preserved,True
gemini,True,uncertain,v1:building_002,preserved,True
gemini,True,estimate,v1:building_002,preserved,True
openai,True,about,v1:building_003,preserved,True
openai,True,around,v1:building_003,preserved,True
openai,True,a few,v1:building_003,preserved,True
openai,True,multiple,v1:building_003,preserved,True
openai,True,uncertain,v1:building_003,preserved,True
openai,True,estimate,v1:building_003,preserved,True
claude,True,approximately,v1:building_003,preserved,True
claude,True,uncertain,v1:building_003,preserved,True
claude,True,appears,v1:building_003,preserved,True
claude,True,estimate,v1:building_003,preserved,True
gemini,True,around,v1:building_003,preserved,True
gemini,True,multiple,v1:building_003,preserved,True
gemini,True,uncertain,v1:building_003,preserved,True
gemini,True,estimate,v1:building_003,preserved,True
openai,True,approximately,v1:building_004,preserved,True
openai,True,around,v1:building_004,preserved,True
openai,True,multiple,v1:building_004,preserved,True
openai,True,uncertain,v1:building_004,preserved,True
openai,True,possibly,v1:building_004,preserved,True
openai,True,appears,v1:building_004,preserved,True
openai,True,estimate,v1:building_004,preserved,True
claude,True,approximately,v1:building_004,preserved,True
claude,True,around,v1:building_004,preserved,True
claude,True,multiple,v1:building_004,preserved,True
claude,True,uncertain,v1:building_004,preserved,True
claude,True,appears,v1:building_004,preserved,True
claude,True,estimate,v1:building_004,preserved,True
gemini,True,uncertain,v1:building_004,preserved,True
gemini,True,estimate,v1:building_004,preserved,True
openai,True,around,v1:building_005,preserved,True
openai,True,a few,v1:building_005,preserved,True
openai,True,uncertain,v1:building_005,preserved,True
openai,True,appears,v1:building_005,preserved,True
openai,True,estimate,v1:building_005,preserved,True
claude,True,around,v1:building_005,preserved,True
