building_id,description_model,field_path,provenance_type,scene_id,source_end,source_span,source_start,structured_value,validation_status
building_000,openai,summary,explicit_text,v1:building_000,283,"Two-story rectangular brick building with a dark stepped gable roof, stone/white trim base and cornices, horizontal wooden band between floors, regular rows of small glass windows, and corner stone pillars. Sits on a raised white slab border around a dirt foundation.",16,"""Two-story rectangular brick building with a dark stepped gable roof, stone/white trim base and cornices, horizontal wooden band between floors, regular rows of small glass windows, and corner stone pillars. Sits on a raised white slab border around a dirt foundation.""",tracked
building_000,openai,building_type,explicit_text,v1:building_000,328,residential_block_like,306,"""residential_block_like""",tracked
building_000,openai,shape.overall_form,explicit_text,v1:building_000,415,simple rectangular prism with a stepped gable roof,365,"""simple rectangular prism with a stepped gable roof""",tracked
building_000,openai,shape.footprint_hint,explicit_text,v1:building_000,450,rectangle,441,"""rectangle""",tracked
building_000,openai,shape.symmetry,explicit_text,v1:building_000,540,bilaterally symmetric along the long center axis (front/back mirrored),470,"""bilaterally symmetric along the long center axis (front/back mirrored)""",tracked
building_000,openai,shape.floors_estimate,copied_numeric_value,v1:building_000,567,2,566,2,tracked
building_000,openai,shape.roof_type,explicit_text,v1:building_000,78,gable,73,"""gable""",tracked
building_000,openai,dimensions_estimate.width,copied_numeric_value,v1:building_000,640,9,639,9,tracked
building_000,openai,dimensions_estimate.depth,copied_numeric_value,v1:building_000,657,17,655,17,tracked
building_000,openai,dimensions_estimate.height,copied_numeric_value,v1:building_000,640,9,639,9,tracked
building_000,openai,materials,copied_material_name,v1:building_000,1275,"[
    {
      ""name"": ""brick"",
      ""role"": ""wall"",
      ""confidence"": 0.95
    },
    {
      ""name"": ""nether_brick"",
      ""role"": ""roof"",
      ""confidence"": 0.9
    },
    {
      ""name"": ""quartz_block"",
      ""role"": ""base/cornice/trim"",
      ""confidence"": 0.85
    },
    {
      ""name"": ""oak_planks"",
      ""role"": ""horizontal band/ledges"",
      ""confidence"": 0.8
    },
    {
      ""name"": ""stonebrick"",
      ""role"": ""corner pillar/vertical trim"",
      ""confidence"": 0.6
    },
    {
      ""name"": ""glass"",
      ""role"": ""windows"",
      ""confidence"": 0.98
    }
  ]",695,"[{""name"": ""brick"", ""role"": ""wall"", ""confidence"": 0.95}, {""name"": ""nether_brick"", ""role"": ""roof"", ""confidence"": 0.9}, {""name"": ""quartz_block"", ""role"": ""base/cornice/trim"", ""confidence"": 0.85}, {""name"": ""oak_planks"", ""role"": ""horizontal band/ledges"", ""confidence"": 0.8}, {""name"": ""stonebrick"", ""role"": ""corner pillar/vertical trim"", ""confidence"": 0.6}, {""name"": ""glass"", ""role"": ""windows"", ""confidence"": 0.98}]",tracked
building_000,openai,elements,explicit_text,v1:building_000,1656,"[
    ""rows of small glass windows on both floors (repeating pattern)"",
    ""entrance not visible (uncertain) - likely on opposite/side face"",
    ""stepped dark gable roof with quartz cornice accents"",
    ""raised quartz slab border foundation around perimeter"",
    ""wooden horizontal band between first and second floor"",
    ""stone/stonebrick corner pillars""
  ]",1291,"[""rows of small glass windows on both floors (repeating pattern)"", ""entrance not visible (uncertain) - likely on opposite/side face"", ""stepped dark gable roof with quartz cornice accents"", ""raised quartz slab border foundation around perimeter"", ""wooden horizontal band between first and second floor"", ""stone/stonebrick corner pillars""]",tracked
building_000,openai,rebuild_hints,explicit_text,v1:building_000,2335,"[
    ""Create a rectangular two-floor box of brick with corners reinforced with stonebrick columns (3-high corners visible)."",
    ""Add a continuous oak plank band around mid-height between floors and place a quartz slab/cornice above and below the band."",
    ""Place repeating 1x1 or 1x2 glass windows in a regular row on each floor (spacing consistent across faces)."",
    ""Construct a stepped dark nether_brick gable roof centered on the long axis, add quartz block caps at the eaves corners and small quartz slab highlights on steps."",
    ""Surround the building with a one-block-high quartz slab/blocks border raised above the dirt ground as shown.""
  ]",1677,"[""Create a rectangular two-floor box of brick with corners reinforced with stonebrick columns (3-high corners visible)."", ""Add a continuous oak plank band around mid-height between floors and place a quartz slab/cornice above and below the band."", ""Place repeating 1x1 or 1x2 glass windows in a regular row on each floor (spacing consistent across faces)."", ""Construct a stepped dark nether_brick gable roof centered on the long axis, add quartz block caps at the eaves corners and small quartz slab highlights on steps."", ""Surround the building with a one-block-high quartz slab/blocks border raised above the dirt ground as shown.""]",tracked
building_000,openai,uncertainties,explicit_text,v1:building_000,2828,"[
    ""Exact interior layout and presence/location of doors are not visible from provided exterior images."",
    ""Material IDs: quartz vs. smooth_sandstone or diorite could be used for white trim; confidence given but not certain."",
    ""Corner vertical blocks may be stonebrick or andesite; identification is medium confidence."",
    ""Exact block counts and precise footprint dimensions estimated from perspective/top views; actual counts may differ by a few blocks.""
  ]",2356,"[""Exact interior layout and presence/location of doors are not visible from provided exterior images."", ""Material IDs: quartz vs. smooth_sandstone or diorite could be used for white trim; confidence given but not certain."", ""Corner vertical blocks may be stonebrick or andesite; identification is medium confidence."", ""Exact block counts and precise footprint dimensions estimated from perspective/top views; actual counts may differ by a few blocks.""]",tracked
building_000,claude,summary,explicit_text,v1:building_000,368,"A compact two-story residential structure with a stepped gable roof. The building features brick and stone walls with horizontal banding, a white concrete foundation, and dark windows. The roof is constructed with dark wood or nether brick in a distinctive stepped pyramid pattern. The structure sits on a raised platform with a white perimeter border.",16,"""A compact two-story residential structure with a stepped gable roof. The building features brick and stone walls with horizontal banding, a white concrete foundation, and dark windows. The roof is constructed with dark wood or nether brick in a distinctive stepped pyramid pattern. The structure sits on a raised platform with a white perimeter border.""",tracked
building_000,claude,building_type,explicit_text,v1:building_000,410,residential cottage,391,"""residential cottage""",tracked
building_000,claude,shape.overall_form,explicit_text,v1:building_000,486,rectangular box with stepped gable roof,447,"""rectangular box with stepped gable roof""",tracked
building_000,claude,shape.footprint_hint,explicit_text,v1:building_000,521,rectangle,512,"""rectangle""",tracked
building_000,claude,shape.symmetry,explicit_text,v1:building_000,581,bilateral symmetry along front-back axis,541,"""bilateral symmetry along front-back axis""",tracked
building_000,claude,shape.floors_estimate,copied_numeric_value,v1:building_000,608,2,607,2,tracked
building_000,claude,shape.roof_type,explicit_text,v1:building_000,78,gable,73,"""gable""",tracked
building_000,claude,dimensions_estimate.width,copied_numeric_value,v1:building_000,682,10,680,10,tracked
building_000,claude,dimensions_estimate.depth,copied_numeric_value,v1:building_000,682,10,680,10,tracked
building_000,claude,dimensions_estimate.height,copied_numeric_value,v1:building_000,717,12,715,12,tracked
building_000,claude,materials,copied_material_name,v1:building_000,1264,"[
    {
      ""name"": ""brick"",
      ""role"": ""primary wall"",
      ""confidence"": 0.95
    },
    {
      ""name"": ""stonebrick"",
      ""role"": ""wall accent and banding"",
      ""confidence"": 0.85
    },
    {
      ""name"": ""nether_brick"",
      ""role"": ""roof construction"",
      ""confidence"": 0.9
    },
    {
      ""name"": ""concrete"",
      ""role"": ""foundation and platform border"",
      ""confidence"": 0.9
    },
    {
      ""name"": ""wood"",
      ""role"": ""possible roof material alternative"",
      ""confidence"": 0.4
    }
  ]",738,"[{""name"": ""brick"", ""role"": ""primary wall"", ""confidence"": 0.95}, {""name"": ""stonebrick"", ""role"": ""wall accent and banding"", ""confidence"": 0.85}, {""name"": ""nether_brick"", ""role"": ""roof construction"", ""confidence"": 0.9}, {""name"": ""concrete"", ""role"": ""foundation and platform border"", ""confidence"": 0.9}, {""name"": ""wood"", ""role"": ""possible roof material alternative"", ""confidence"": 0.4}]",tracked
building_000,claude,elements,explicit_text,v1:building_000,1514,"[
    ""windows (dark, rectangular, centered on each visible face)"",
    ""stepped gable roof"",
    ""horizontal stone/brick banding"",
    ""raised concrete foundation platform"",
    ""white perimeter border"",
    ""two visible stories""
  ]",1280,"[""windows (dark, rectangular, centered on each visible face)"", ""stepped gable roof"", ""horizontal stone/brick banding"", ""raised concrete foundation platform"", ""white perimeter border"", ""two visible stories""]",tracked
